hardware,batch,mode_id,status,gpu_count,lpu_count,pools,output_tps,ttft_s,tpot_ms,draft_prefix,reason
Vera-Rubin NV72 · 每GPU池,16,prefill_gpu_decode_lpu,infeasible,144,768,PA=72GPU; PF=72GPU; DA=256LPU; DF=256LPU; draft=256LPU,,,,,"DA (groq-lpx3): requires 2.705 GiB/device, available 0.500 GiB/device; DF (groq-lpx3): requires 3.648 GiB/device, available 0.500 GiB/device; draft (groq-lpx3): requires 0.814 GiB/device, available 0.500 GiB/device"
Vera-Rubin NV144 · 总GPU均分,16,all_gpu,feasible,144,0,main=144GPU,8851.80718910758,0.12020593531994699,1.7786275839191918,0,
Vera-Rubin NV144 · 总GPU均分,16,pd_gpu,feasible,144,0,prefill=72GPU; decode=72GPU,8825.895730091355,0.2192166303952703,1.8147011154134756,0,
Vera-Rubin NV144 · 总GPU均分,16,pd_draft_gpu,feasible,144,0,prefill=48GPU; decode=48GPU; draft=48GPU,28302.15358373073,0.3193596397023556,0.669583772253476,5,
Vera-Rubin NV144 · 总GPU均分,16,pd_draft_lpu,infeasible,144,256,prefill=72GPU; decode=72GPU; draft=256LPU,,,,,"draft (groq-lpx3): requires 0.814 GiB/device, available 0.500 GiB/device"
Vera-Rubin NV144 · 总GPU均分,16,pafd_split_draft_lpu,infeasible,144,768,PA=72GPU; PF=256LPU; DA=72GPU; DF=256LPU; draft=256LPU,,,,,"PF (groq-lpx3): requires 23.641 GiB/device, available 0.500 GiB/device; DF (groq-lpx3): requires 3.648 GiB/device, available 0.500 GiB/device; draft (groq-lpx3): requires 0.814 GiB/device, available 0.500 GiB/device"
Vera-Rubin NV144 · 总GPU均分,16,prefill_gpu_decode_lpu,infeasible,144,768,PA=72GPU; PF=72GPU; DA=256LPU; DF=256LPU; draft=256LPU,,,,,"DA (groq-lpx3): requires 2.705 GiB/device, available 0.500 GiB/device; DF (groq-lpx3): requires 3.648 GiB/device, available 0.500 GiB/device; draft (groq-lpx3): requires 0.814 GiB/device, available 0.500 GiB/device"
Vera-Rubin NV144 · 每GPU池,16,all_gpu,feasible,144,0,main=144GPU,8851.80718910758,0.12020593531994699,1.7786275839191918,0,
Vera-Rubin NV144 · 每GPU池,16,pd_gpu,feasible,288,0,prefill=144GPU; decode=144GPU,8997.896664035043,0.12020593531994699,1.7800388426053946,0,
Vera-Rubin NV144 · 每GPU池,16,pd_draft_gpu,feasible,432,0,prefill=144GPU; decode=144GPU; draft=144GPU,31204.18105764147,0.12020593531994699,0.610315471591212,5,
Vera-Rubin NV144 · 每GPU池,16,pd_draft_lpu,infeasible,288,256,prefill=144GPU; decode=144GPU; draft=256LPU,,,,,"draft (groq-lpx3): requires 0.814 GiB/device, available 0.500 GiB/device"
Vera-Rubin NV144 · 每GPU池,16,pafd_split_draft_lpu,infeasible,288,768,PA=144GPU; PF=256LPU; DA=144GPU; DF=256LPU; draft=256LPU,,,,,"PF (groq-lpx3): requires 23.641 GiB/device, available 0.500 GiB/device; DF (groq-lpx3): requires 3.648 GiB/device, available 0.500 GiB/device; draft (groq-lpx3): requires 0.814 GiB/device, available 0.500 GiB/device"
Vera-Rubin NV144 · 每GPU池,16,prefill_gpu_decode_lpu,infeasible,288,768,PA=144GPU; PF=144GPU; DA=256LPU; DF=256LPU; draft=256LPU,,,,,"DA (groq-lpx3): requires 2.705 GiB/device, available 0.500 GiB/device; DF (groq-lpx3): requires 3.648 GiB/device, available 0.500 GiB/device; draft (groq-lpx3): requires 0.814 GiB/device, available 0.500 GiB/device"
Vera-Rubin NV72 · 总GPU均分,32,all_gpu,feasible,72,0,main=72GPU,16108.861842083974,0.4346964318529122,1.8808163543434344,0,
Vera-Rubin NV72 · 总GPU均分,32,pd_gpu,feasible,72,0,prefill=36GPU; decode=36GPU,15176.702488078712,0.47096886539164956,2.110421067561772,0,
Vera-Rubin NV72 · 总GPU均分,32,pd_draft_gpu,feasible,72,0,prefill=24GPU; decode=24GPU; draft=24GPU,40850.99716328543,1.137440546074847,0.9566666611686846,5,
Vera-Rubin NV72 · 总GPU均分,32,pd_draft_lpu,infeasible,72,256,prefill=36GPU; decode=36GPU; draft=256LPU,,,,,"draft (groq-lpx3): requires 0.814 GiB/device, available 0.500 GiB/device"
